DOI,Cited References,Publication Year,Source Title,Abstract,WoS Categories,Article Title,Keywords,citing
,0,2026-03-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"Respiration is crucial for identifying and diagnosing cardiovascular conditions such as sleep apnea, and other cardiovascular and chronic obstructive pulmonary disease (COPD). Despite the growing interest in deep learning models for comfortable respiration recognition during daily activities, current algorithms often prove complex and inefficient. Hence, there is a need for alternate, more sophisticated, and effective techniques. In this paper, a novel deep neural network (RespECG-Net) model is proposed to estimate respiration parameters using single-lead ECG signals. The experiment involved ten healthy subjects with no reported neurological and respiration disorders. Additionally, the proposed model was tested during three distinct self-paced breathing conditions (normal, fast, and slow) to evaluate its reliability and robustness. The obtained results were compared to the respiration rate (RR) measured using the gold standard commercially available sensor belt (SB). The average mean absolute error (MAE) of respiration rate using SB and RespECG-Net obtained across subjects are 1.44 +/- 1.59, 3.11 +/- 5.65, and 1.80 +/- 2.53 for normal, fast, and slow breathing conditions, respectively. The root mean square error (RMSE) between the RespECG-Net and SB across subjects in normal breathing was 2.21 +/- 1.26 bpm. Moreover, the proposed research also estimates the various temporal features associated with the respiration signal, which can aid in the diagnosis, treatment, and early prediction of cardiovascular and COPD diseases.","Engineering, Biomedical",Respiration prediction using single channel electrocardiogram signals and neural networks for healthcare applications,,[]
,0,2026-03-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"Introduction: Taiwan will become a super-aged society by 2025, making degenerative disorders, including Alzheimer's disease and Parkinson's disease (PD), an urgent health concern. PD is the second most common neurodegenerative disorder worldwide, whose prevalence is increasing annually. Early detection is important for further intervention; however, non-specialists commonly fail to distinguish between aging motor dysfunction, or a very early motor symptom of PD. Objectives: To develop a facial-based artificial intelligence model to assess the facial features of patients with PD and investigate how artificial intelligence (AI) could help neurologists improve the performance of early PD diagnosis. Methods: We collected 70 videos of facial expressions from ""on"" stage PD patients with continuing antiparkinsonian drugs and matched controls from the Show Chwan Memorial Hospital. An AI model was developed to perform masked face recognition, based on the acquisition and evaluation in the sizes and muscle movement between facial landmarks. Results: Our AI models achieved feasible and effective facial feature recognition sufficient to assist in on-stage PD diagnosis. The accuracy of PD diagnosis using all features reached 76.5%. The random forest model with costeffective features achieved an accuracy and sensitivity of 82.4% and 83.3%, respectively. Furthermore, the accuracy and sensitivity reached 94.1% and 99.9% for typical PD patients, respectively. Conclusions: Patients with PD commonly exhibit masked facial features. Videos of a facial feature recognition-based AI model can assist with PD diagnosis and has the potential to realize remote monitoring of a patient's condition, especially during the COVID-19 pandemic.","Engineering, Biomedical",A facial expression-based artificial intelligence model to aid in screening for Parkinson's disease: Development and validation in a cohort study,,[]
,0,2026-03-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"Pulmonary embolism (PE) is a life-threatening emergency, and early accurate diagnosis can reduce mortality. Although computed tomography angiography (CTA) is the gold standard for diagnosis, it faces challenges including risks of contrast agent allergy, contrast-induced nephropathy complications, and high healthcare resource costs. Radiologists' slice-by-slice analysis of vascular morphology using CTA relies heavily on clinical experience. and prolonged image interpretation is prone to result in missed diagnoses or misdiagnoses of microthrombi due to visual fatigue, which more easily exacerbates diagnostic delays in resource-constrained areas. This study develops PulmoNet, a framework that enables transmodal transformation from non-contrast computed tomography (NCCT) to CTA-like images using a bidirectional generative network incorporating Transformer attention mechanisms, and integrates a multi-scale object detection module optimized by dynamic EMA attention and MPDIoU loss thereby forming an end-to-end automated diagnostic workflow encompassing ""image transformation and lesion localization"". Based on a dataset of 773 cases from four hospitals, the framework demonstrates effectiveness: the transmodal transformation achieves a structural similarity index (SSIM) of 0.906 f 0.015 in the internal test set and 0.892 f 0.018 in the external test set; the mean average precision (mAP50) of the detection module is 0.875 f 0.018 (internal) and 0.857 f 0.020 (external), with diagnostic accuracy exceeding 93.9 % for all PE subtypes, results consistent with radiologists' diagnoses based on CTA. The study shows that this framework provides a safe alternative diagnostic solution for patients with contrast contraindications and provides specific practical references for the implementation of AI technology in emergency imaging-assisted diagnosis.","Engineering, Biomedical",PulmoNet: a transmodal deep learning framework for automated pulmonary embolism diagnosis on non-contrast CT,,[]
,0,2026-03-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"Electrocardiogram (ECG) analysis plays a critical role in cardiovascular disease diagnosis. However, traditional approaches to ECG classification and generation often rely on existent information, neglecting the integration of domain-specific knowledge. To address this limitation, we propose a novel multi-task learning architecture, MMS-Net, which simultaneously performs ECG generation and classification. The network predicts the complete lead signal from a sparse set of ECG leads and utilizes the generated signal to extract relevant features for classification. To improve disease pattern recognition, we propose an attention mechanism that highlights key leads and waveforms, focusing on the most informative ECG features. Additionally, we incorporate a multi-level feature extraction structure, capturing semantic information across multiple scales to improve the robustness and accuracy of classification. Experimental results show that MMS-Net significantly outperforms state-of-the-art methods in both ECG generate and classification tasks. Moreover, the integration of generation and classification tasks leads to mutual performance enhancement, demonstrating the efficacy of the multitask framework in capturing more relevant information for both tasks. These findings highlight the potential of multi-task learning architectures for advancing ECG analysis in clinical settings.","Engineering, Biomedical",MMS-Net: A multi-task learning framework for 12-lead ECG reconstruction and disease classification from 3-lead inputs,,[]
,0,2026-03-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"Mitosis nuclei count is an important indicator for breast cancer diagnosis and grading, currently relying on manual whole slide image review by pathologists, which is time-consuming, labor-intensive, and subjective. Due to extreme class imbalance of nuclei types, intra-class heterogeneity, and inter-class similarity in breast pathology images, these data challenges hinder mitosis detection, with inadequate handling of sample noise and hard samples further reducing robustness. In this paper, we propose a Difficulty-Aware Learning Paradigm (DALP) framework based on the nuclei patch level. First, the difficulty and quantity of data are balanced by the Negative Sample Search (NS). Then, Dynamic Memory Units (DMU) and Difficulty Level Evaluation (DLE) are used to select simple samples, eliminate noisy samples, and subdivide and validate the difficulty levels of hard samples to obtain a clean and refined dataset. Finally, Class-Stratified Difficulty-Guided Learning (CSDGL) aims to address the issues of intra-class heterogeneity and inter-class similarity and optimize the learning of hard samples. Extensive experimental results demonstrate that our method achieves state-of-the-art performance on the ICPR2014, TUPAC2016, and MIDOG2021 datasets. Furthermore, it consistently outperforms a broad range of well-established detection algorithms on GZMH-V2, a newly released clinical dataset curated by our team. The proposed method in this paper is a plug-and-play framework that relies solely on point annotations with minimal labeling effort, highlighting its potential application for breast cancer mitosis detection. The source code has been available at https://github.com/antifen/DASC.","Engineering, Biomedical",Navigating challenges in mitosis detection: A Difficulty-Aware Learning Paradigm,,[]
,0,2026-03-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"Leukemia, a fatal hematological disease caused by the abnormal proliferation of malignant white blood cells, relies heavily on microscopic image analysis of pathological samples for clinical diagnostic accuracy and efficiency. Although deep learning-based computer-aided diagnostic technologies have achieved significant progress, existing approaches still face technical limitations such as low detection efficiency, high miss rates, and high false detection rates when dealing with complex microscopic imaging scenarios involving high-density distribution and complex morphological features of white blood cells. To address these challenges, we propose an efficient diagnostic framework, the FCE-YOLO model. Built upon the YOLOv8 architecture, the model integrates two novel modules, C2f_Faster and CSP_PTB, which significantly enhance global feature extraction, nonlinear representation capacity and inference speed. Furthermore, by incorporating the EMASlideLoss loss function, the model leverages historical state information during training and places greater emphasis on hard-to-classify and imbalanced samples, thereby improving classification accuracy. Trained on a blood cell image dataset covering four clinical stages of acute lymphoblastic leukemia (Begin, Malignant Pre-B, Malignant early Pre-B, Malignant Pro-B), the model achieves an outstanding 99.3 % mAP@0.5 and 98 % detection precision, with an inference speed of only 2.1 ms. Compared with the original YOLOv8, it improves mAP@0.5 by 3.3 % and precision by 4.7 %, while reducing GFLOPs by 24 %. Validation on the BCCD dataset further demonstrates the model's strong generalization ability, outperforming YOLOv8 and other state-of-the-art detectors (e.g., YOLOv10, YOLOv11). Overall, the proposed model achieves high diagnostic accuracy while maintaining efficient inference, markedly enhancing the reliability and speed of ALL subtype detection. This advancement not only provides reliable technical support for optimizing clinical decision-making and capturing optimal treatment opportunities, but also contributes valuable insights for future research and applications in medical image analysis and computer-aided diagnosis.","Engineering, Biomedical",FCE-YOLO: A highly accurate and efficient model for acute lymphoblastic leukemia detection and classification,,[]
,0,2026-02-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"During progression of gynaecological tumours, pelvic lymph node metastasis serves as a critical determinant of clinical staging, therapeutic decision-making, and prognosis. Its presence signifies disease progression to advanced stages, substantially elevating therapeutic complexity and mortality risks. However, due to the small size of lymph nodes and adhesion between lesions and surrounding tissues causing imaging contrast imbalance, the detection difficulty is greatly increased. Therefore, we propose a precise detection model for pelvic lymph node metastasis based on YOLO11. First, to enhance the expression of lymph node edge features, we design a Multi-scale Feature and Edge information extraction Convolution (MFEConv) module which improves backbone network feature extraction by combining multi-scale depthwise convolutions and differential convolution blocks. Secondly, the Feature Channel Selection aggregation Module (FCSM) is proposed, which uses the adaptive channel weight control mechanism to automatically select key information, so as to retain important discriminant features more accurately when fusing multi-scale features. Finally, to enhance the localization precision of lymph node detection, we construct the NWD-CIoU composite loss function. This function compensates for the positional sensitivity limitations of traditional IoU in small targets by incorporating the Normalized Gaussian Wasserstein Distance (NWD). Experiments on a dataset of 1,258 pelvic enhanced CT scans demonstrate that our improved model outperforms the baseline YOLO11, achieving a 6.6% increase in mAP@50, 8.5% higher precision, 1.3% improved recall, and 4.4% higher F1-score. This provides more reliable and efficient technical support for precise diagnosis and treatment of pelvic lymph node metastasis in gynaecological tumours.","Engineering, Biomedical",PLNM-YOLO: Pelvic lymph node metastasis detection algorithm in gynaecological tumours based on edge-aware and multi-scale feature fusion,,[]
,0,2026-02-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"Although deep learning (DL) methods have shown tremendous potential in many medical image analysis tasks, their practical applications are limited due to the lack of sufficient annotated data samples. By noting that the clinical radiology examinations are associated with radiology reports that describe the images, we propose to develop a foundation model for multi-model head MRI by using contrastive learning on the images and the corresponding radiology findings. In particular, a contrastive learning framework is proposed, where a mixed syntax and semantic similarity matching metric is integrated to reduce the thirst of extreme large dataset in conventional contrastive learning framework. Our proposed similarity enhanced contrastive language image pretraining (SeLIP) is able to effectively extract more useful features. Experiments revealed that our proposed SeLIP performs well in many downstream tasks including image-text retrieval task, classification task, and image segmentation, which highlights the importance of considering the similarities among texts describing different images in developing medical image foundation models. Code is available at https://github.com/yangdong01123/SeLIP.","Engineering, Biomedical",SeLIP: Similarity enhanced contrastive language image pretraining for multi-modal head MRI,,[]
,0,2026-02-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"Respiratory diseases are leading causes of serious illness and mortality globally. Rapid and accurate diagnosis is crucial for effective treatment. Cough analysis offers a simple, low-cost, and accessible solution for detecting respiratory diseases anytime, anywhere, with significant public health implications for early intervention. However, existing cough datasets for respiratory diseases are limited. Most studies focus on binary detection of specific diseases, with fewer exploring multi-disease detection. Additionally, single-feature input models have limited performance. To address these challenges, this paper constructs a respiratory disease cough dataset and proposes DiemaNet, a deep learning method combining temporal dimensionality reduction and attention mechanisms for automatic cough-based detection. The temporal dimension reduction module (DiffRes) enhances detailed information extraction with lower computational cost and improves attention to critical temporal frames. Efficient Multi-Scale Attention (EMA) further boosts performance by highlighting important channel and spatial information. To evaluate the performance of the proposed method, we constructed a cough dataset named Cough-Exp, which includes four types of cough data: Health, COVID-19, Asthma, and chronic obstructive pulmonary disease (COPD). Experiments show DiemaNet achieves the best performance on the dataset, with precision, recall, F1 score, and accuracy of 86.2%, 85.6%, 85.9%, and 84.7%, respectively.","Engineering, Biomedical",DiemaNet: An automated detection model for three typical respiratory diseases,,[]
,0,2026-01-01,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,"Accurate pancreatic tumor segmentation remains challenging due to complex anatomical structures and diverse tumor appearances. This study presents a Knowledge-Driven Evidence Fusion Segmentation Network (KEFS-Net), a framework that systematically integrates radiological and anatomical knowledge from medical reports with imaging features to enhance segmentation accuracy. KEFS-Net consists of three key components: (1) a knowledge-driven attention network that leverages large language models, discrete information bottleneck, and cross-attention to enhance CT image segmentation performance by capturing informative features from medical reports, (2) an evidence fusion strategy based on Dempster-Shafer theory that optimizes segmentation results by evaluating the consistency between textual knowledge and image predictions, and (3) a masked learning approach that ensures robust performance in clinical scenarios with incomplete tumor descriptions. The framework was evaluated on both the Medical Segmentation Decathlon (MSD) dataset and an external clinical dataset from the First Affiliated Hospital (FAH) of Zhejiang University School of Medicine. Experimental results demonstrate superior performance compared to state-of-the-art methods, achieving Dice of 59.10% and 59.42% respectively for tumor segmentation on the MSD and external dataset. The approach shows particular strength in handling diverse tumor characteristics including size variations, boundary ambiguity, and complex anatomical locations. This knowledge-driven framework represents a significant advancement in leveraging domain knowledge through multi-modal integration for improved pancreatic tumor segmentation. Our code is available at https://github.com/Singlesnail/KEFS-Net.","Engineering, Biomedical",A Knowledge-Driven Evidence Fusion Network for pancreatic tumor segmentation in CT images,,[]
