Source Title,DOI,TD_Score
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-018-0485-5,1.0
IEEE PULSE,10.1109/MPUL.2018.2814238,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2017.2741942,1.0
NATURE BIOMEDICAL ENGINEERING,10.1038/s41551-018-0217-y,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2018.01.008,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2017.07.012,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-017-1968-4,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-017-1976-4,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2017.2700627,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-018-0459-7,1.0
NATURE BIOMEDICAL ENGINEERING,10.1038/s41551-017-0183-9,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2017.09.013,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2017.09.020,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2017.09.026,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-018-0436-1,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1080/17434440.2018.1418662,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1080/17434440.2018.1483237,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2017.11.004,1.0
EXPERT REVIEW OF MEDICAL DEVICES,10.1080/17434440.2018.1438165,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2017.2694339,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-017-1915-4,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2017.08.010,1.0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4038145,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2017.2676160,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2017.2728323,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2017.07.009,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-017-1901-x,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2017.06.039,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-017-0407-y,1.0
JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,10.1007/s40846-017-0257-x,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2016.2642783,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-017-1897-2,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2016.2631885,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2017.06.026,1.0
NATURE BIOMEDICAL ENGINEERING,10.1038/s41551-017-0133-6,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2017.06.003,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2016.2636906,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2017.2676243,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-017-0391-2,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2016.2621037,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2017.03.010,1.0
ANNALS OF BIOMEDICAL ENGINEERING,10.1007/s10439-017-1817-5,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2017.03.022,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-017-0368-1,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2016.2602283,1.0
MEDICAL ENGINEERING & PHYSICS,10.1016/j.medengphy.2017.03.007,1.0
JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,10.1007/s40846-017-0235-3,1.0
JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,10.1007/s40846-017-0226-4,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2016.2599177,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-017-0350-y,1.0
NATURE BIOMEDICAL ENGINEERING,10.1038/s41551-017-0066,1.0
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2016.2592820,1.0
BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-017-0343-x,1.0
NATURE BIOMEDICAL ENGINEERING,10.1038/s41551-017-0065,1.0
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,10.1016/j.bspc.2016.12.021,1.0
